# PCBWay ASSEMBLY BOM - matches the 68 parts in fusion/BrushlessLamp.sch (authoritative).
# Populate=No => DNP (do not place). Passives: PCBWay turnkey may substitute equivalents (match value/package/tolerance/voltage). Verify any LCSC# before ordering.
# Hand this alongside the Fusion-exported Gerbers + Pick-and-Place(centroid). See 06-pcbway-assembly.md.
RefDes,Qty,Value,Description,Package,Mount,MPN,Manufacturer,LCSC,Populate,Notes
U_MCU,1,ESP32-S3-WROOM-1-N8R8,WiFi/BLE MCU module 8MB+8MB,Module,SMT,ESP32-S3-WROOM-1-N8R8,Espressif,C2913202,Yes,verify LCSC/stock
U_DRV,1,DRV8313PWPR,3-phase BLDC gate driver,HTSSOP-28,SMT,DRV8313PWPR,Texas Instruments,C92482,Yes,thermal pad to GND
U_BUCK,1,LMR51430YDDCR,24V->3.3V 3A buck,SOT-23-6,SMT,LMR51430YDDCR,Texas Instruments,C5210749,Yes,
D_USB,1,USBLC6-2SC6,USB ESD protection array,SOT-23-6,SMT,USBLC6-2SC6,STMicroelectronics,C7519,Yes,
Q_WW;Q_CW,2,AO3400A,N-MOSFET LED low-side,SOT-23,SMT,AO3400A,Alpha & Omega,C20917,Yes,
Q1,1,AO3401A,P-MOSFET reverse-protect,SOT-23,SMT,AO3401A,Alpha & Omega,C15127,Yes,
D_OR_USB,1,SS14,Schottky 40V 1A,SMA,SMT,SS14,MDD/Diodes,C2480,Yes,VBUS diode-OR to buck input
D_Q1,1,BZT52C15,Zener 15V 0.5W,SOD-123,SMT,BZT52C15,various,C4332,Yes,Q1 Vgs clamp; verify LCSC
TVS1,1,SMBJ30A,TVS 30V unidirectional 600W,SMB,SMT,SMBJ30A,various,C13983,Yes,24V transient clamp
D_MCU,1,ESD 3.3V,TVS/ESD 3.3V working,SOD-323,SMT,CDSOD323-T03SC,Bourns,,Yes,generic 3V3 ESD; optional - may DNP
D_CLW;D_CLC,2,clamp,LED drain TVS/Schottky,SOD-323,SMT,-,-,-,No,DNP - populate only if drain ringing >30V
LED_STATUS,1,Green LED,status indicator,0603,SMT,19-217/GHC-YR1S2/3T,Everlight,C72043,Yes,generic green 0603; optional
R_EN;R_BOOT;R_NSLEEP;R_NRESET;R_NFAULT;R_EN_DRV;R_FBB,7,10k,thick-film 1%,0603,SMT,0603WAF1002T5E,UNI-ROYAL,C25804,Yes,pull-ups + buck FB bottom
R_FBT,1,45.3k,thick-film 1%,0603,SMT,0603WAF4532T5E,UNI-ROYAL,,Yes,CRITICAL 1% - sets Vout=3.318V
